total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
3.0,6.0,0.3,"[1, 2, 3]","[[[0], 0]]",0.93027,0.25,0.0,0.25,0.00105
3.0,4.0,0.0,"[2, 3]","[[[0, 1], 1]]",0.96225,0.5,0.16667,0.0,0.00301
5.0,9.0,0.1,"[3, 2]","[[[0], 0], [[1], 0]]",0.99066,0.5,0.0,0.5,0.00203
3.0,6.0,0.1,[3],"[[[1, 2], 0], [[0], 1]]",0.99865,0.75,0.16667,0.5,-0.0
4.0,8.0,0.1,[3],"[[[0, 1, 2], 1]]",0.99938,0.75,0.5,0.0,0.00027
3.0,5.0,0.1,[3],"[[[0, 1], 1], [[2], 0]]",0.9994,0.75,0.16667,0.25,0.00021
3.0,8.0,0.3,"[3, 1]","[[[0], 1], [[2], 0]]",0.94197,0.5,0.0,0.25,0.00024
3.0,8.0,0.5,[3],"[[[0, 1], 1], [[2], 1]]",0.99074,0.75,0.16667,0.0,0.00059
4.0,11.0,0.1,"[3, 2]","[[[0, 1], 0]]",0.99078,0.5,0.16667,0.5,1e-05
3.0,4.0,0.1,"[1, 2, 3]","[[[0], 1]]",0.92468,0.25,0.0,0.0,0.03539
,,,,,0.5,0.0,0.0,0.0,0.125
