total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
3.0,8.0,0.1,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[[[1], 0]]",0.77737,0.05556,0.0,0.05556,0.0
5.0,4.0,0.2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[[[0, 1], 1]]",0.5,0.11111,0.00654,0.0,0.0
3.0,11.0,0.2,"[2, 3, 5, 6, 10, 11]","[[[1], 1], [[0], 0], [[9, 4, 7, 13], 1], [[12, 14, 8, 15, 16, 17], 0]]",0.97535,0.66667,0.13725,0.38889,0.00228
3.0,4.0,0.4,"[8, 14, 2, 3, 4, 5, 6, 7, 10, 11, 13, 16, 17, 9]","[[[0, 15, 1, 12], 0]]",0.88444,0.22222,0.03922,0.22222,0.0
3.0,5.0,0.4,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]","[[[8], 0], [[0], 0], [[12], 1], [[1], 0]]",0.94869,0.22222,0.0,0.16667,9e-05
3.0,4.0,0.4,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]","[[[8], 1], [[12], 1], [[0, 1], 0]]",0.94162,0.22222,0.00654,0.11111,0.0
4.0,11.0,0.3,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17]","[[[14], 0], [[1, 0, 13], 1]]",0.96242,0.22222,0.01961,0.05556,0.00916
3.0,5.0,0.2,"[17, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16]","[[[1], 1], [[0], 0], [[12], 1], [[9], 0]]",0.94222,0.22222,0.0,0.11111,1e-05
5.0,8.0,0.1,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[[[1], 1]]",0.78202,0.05556,0.0,0.0,0.00112
3.0,6.0,0.7,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[[[0], 1], [[1], 1]]",0.91556,0.11111,0.0,0.0,0.02073
,,,,,0.5,0.0,0.0,0.0,0.02778
