total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
3.0,3.0,0.2,"[1, 4]","[[[0, 2], 1], [[3], 1]]",0.84872,0.6,0.1,0.0,0.00709
3.0,4.0,0.1,"[0, 1, 2, 4]","[[[3], 0]]",0.83324,0.2,0.0,0.2,0.07446
3.0,5.0,0.2,[],"[[[1, 3], 1], [[4], 0], [[0, 2], 0]]",0.88702,1.0,0.2,0.6,-0.0
3.0,5.0,0.2,"[1, 3, 4]","[[[0, 2], 0]]",0.80292,0.4,0.1,0.4,-0.0
3.0,6.0,0.2,[1],"[[[0, 2], 0], [[3], 1], [[4], 0]]",0.88444,0.8,0.1,0.6,0.00208
4.0,6.0,0.4,"[0, 1]","[[[2, 4], 0], [[3], 0]]",0.85549,0.6,0.1,0.6,0.00048
3.0,4.0,0.1,"[0, 1, 3]","[[[2, 4], 1]]",0.78122,0.4,0.1,0.0,0.01012
4.0,4.0,0.3,"[0, 1, 2, 4]","[[[3], 1]]",0.5,0.2,0.0,0.0,-0.0
4.0,5.0,0.2,"[0, 2]","[[[3], 0], [[1, 4], 1]]",0.82535,0.6,0.1,0.2,-0.0
,,,,,0.5,0.0,0.0,0.0,0.1
