total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
5.0,5.0,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]","[[[22], 1]]",0.83667,0.03333,0.0,0.0,0.02315
3.0,4.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 17, 19, 20, 23, 24, 25, 28, 29]","[[[22, 26, 27, 7, 11, 13, 21, 14, 18], 1]]",0.98615,0.3,0.08276,0.0,0.0
4.0,4.0,0.1,"[9, 12, 17, 20, 25, 0, 1, 2, 3, 5, 6, 7, 8, 11, 15, 16, 18, 19, 21, 23, 24, 4, 13]","[[[26, 27, 22, 10], 1], [[14, 28, 29], 0]]",0.98,0.23333,0.02069,0.1,0.00063
3.0,5.0,0.3,"[10, 16, 29, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 28]","[[[22, 26], 1], [[27], 0]]",0.9652,0.1,0.0023,0.03333,5e-05
3.0,5.0,0.2,"[2, 23, 0, 1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 29]","[[[22], 1], [[10, 20], 1], [[6], 1]]",0.95763,0.13333,0.0023,0.0,2e-05
3.0,5.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 17, 19, 23, 24, 25, 28, 29]","[[[20, 7], 1], [[22, 26, 27, 11, 13, 21, 14, 18], 1]]",0.9839,0.33333,0.06667,0.0,0.0
3.0,5.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 17, 19, 23, 24, 25, 28, 29]","[[[26, 27, 11, 13, 21, 14, 18], 1], [[20, 7], 1], [[22], 1]]",0.98899,0.33333,0.05057,0.0,3e-05
3.0,5.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 17, 19, 20, 23, 24, 25, 28, 29]","[[[7, 11, 13, 21, 14, 18], 1], [[22, 26, 27], 1]]",0.9755,0.3,0.04138,0.0,0.0
3.0,5.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 28, 29]","[[[22, 26, 27], 1]]",0.97148,0.1,0.0069,0.0,0.00114
3.0,4.0,0.0,"[16, 29, 0, 1, 2, 3, 4, 5, 6, 8, 12, 17, 19, 20, 23, 24, 28]","[[[7], 1], [[22, 27, 11, 13, 21, 18], 1], [[14], 1], [[26, 9, 25], 0], [[10, 15], 0]]",0.99112,0.43333,0.04368,0.16667,0.00099
3.0,5.0,0.2,"[10, 16, 29, 0, 1, 2, 3, 4, 5, 6, 8, 9, 12, 15, 17, 19, 20, 23, 24, 25, 28]","[[[7], 1], [[22, 26, 27, 11, 13, 21, 14, 18], 1]]",0.98899,0.3,0.06437,0.0,9e-05
,,,,,0.5,0.0,0.0,0.0,0.01667
